ward,ef,es,v,gamma,period
1,5.524137931034469,123,120,1.9194038573933325,EM
2,3.7103448275861948,72,74,1.2367816091953983,EM
3,7.289655172413781,109,101,2.6753279925693674,EM
4,4.565517241379304,55,54,1.6096374889478315,EM
5,4.993103448275848,115,106,1.8404067197170595,EM
6,5.579310344827572,91,83,2.0893713637008604,EM
7,4.924137931034471,75,74,1.7097701149425246,EM
8,9.98620689655171,58,59,3.387134502923972,EM
9,5.082758620689644,66,64,1.803559510567293,EM
10,3.5724137931034443,39,37,1.3268965517241365,EM
11,5.020689655172411,24,27,1.6066206896551716,EM
12,5.22068965517241,24,25,1.8158920539730121,EM
13,5.331034482758616,47,46,1.8981713688610224,EM
14,6.020689655172406,81,75,2.226830420406232,EM
15,8.420689655172406,39,40,2.880762250453718,EM
16,3.6896551724137887,37,39,1.2298850574712628,EM
17,3.3241379310344747,58,56,1.1901234567901204,EM
18,7.337931034482752,59,56,2.672456364410385,EM
19,4.7793103448275795,26,29,1.5340996168582353,EM
20,7.3655172413792975,87,80,2.7384615384615336,EM
21,6.386206896551711,72,70,2.253955375253545,EM
22,4.1724137931034395,60,58,1.4901477832512284,EM
23,4.393103448275853,60,59,1.5414398064125798,EM
24,3.655172413793095,43,46,1.1907001044932053,EM
25,4.124137931034468,89,84,1.4920661620409257,EM
1,48.88965517241377,214,190,18.55033015407189,AM
2,44.99999999999998,174,162,16.312499999999993,AM
3,53.56551724137928,255,210,21.889754641909803,AM
4,36.503448275862056,126,107,14.601379310344823,AM
5,54.10344827586205,207,172,21.959634888438128,AM
6,59.006896551724125,186,160,23.15460497599301,AM
7,48.275862068965495,175,149,19.157088122605355,AM
8,51.93793103448273,154,136,19.896620346543134,AM
9,48.06896551724137,101,92,17.98135376756066,AM
10,48.73793103448274,81,68,19.93824451410658,AM
11,39.66896551724136,113,94,16.241279360319833,AM
12,42.91034482758619,102,84,17.792094196804026,AM
13,37.83448275862068,90,72,16.21477832512315,AM
14,50.23448275862067,156,130,20.40775862068965,AM
15,51.71724137931033,156,138,19.774239350912772,AM
16,43.04827586206895,122,104,17.163038088798732,AM
17,40.489655172413784,117,100,16.113230119634057,AM
18,35.39310344827585,125,111,13.529473795212482,AM
19,40.96551724137929,139,127,15.184551724137922,AM
20,65.86896551724136,196,168,25.92433180999861,AM
21,62.60689655172412,163,137,25.19734355044699,AM
22,41.25517241379308,127,101,17.641100661790308,AM
23,40.25517241379309,164,136,16.422508148910612,AM
24,44.77241379310344,87,79,16.86233766233766,AM
25,43.04137931034481,170,151,16.369204659415253,AM
1,38.351724137931015,211,188,14.502175256457786,MD
2,31.19999999999998,172,161,11.250314465408799,MD
3,37.117241379310315,250,207,15.08830950378468,MD
4,26.462068965517226,122,105,10.447807164378968,MD
5,35.80689655172412,201,172,14.112129817444213,MD
6,44.9310344827586,180,158,17.28116710875331,MD
7,33.05517241379309,135,121,12.49985511445957,MD
8,41.413793103448256,148,134,15.477882270985713,MD
9,35.18620689655172,101,92,13.162247765006382,MD
10,34.68275862068965,70,63,13.266628980591667,MD
11,28.937931034482745,105,91,11.380085238279731,MD
12,27.77931034482757,91,79,10.94336468129571,MD
13,25.717241379310337,67,61,9.73477498538866,MD
14,36.83448275862067,152,128,14.81174968071519,MD
15,33.65517241379308,153,137,12.71417624521072,MD
16,26.35172413793102,120,102,10.540689655172407,MD
17,25.813793103448262,114,98,10.217959770114936,MD
18,25.17931034482757,124,111,9.548117684277122,MD
19,28.482758620689637,139,127,10.557609195402291,MD
20,43.234482758620665,195,167,17.0317659352142,MD
21,40.04137931034481,157,137,15.522213707960828,MD
22,26.80689655172412,122,100,11.12395026976307,MD
23,26.496551724137912,158,132,10.734500442086642,MD
24,30.117241379310336,86,79,11.212479474548436,MD
25,24.296551724137906,171,151,9.294654015274233,MD
1,45.47586206896549,214,190,17.255025678650025,PM
2,42.72413793103446,174,162,15.487499999999992,PM
3,51.54482758620687,255,210,21.063992042440308,PM
4,32.66896551724137,126,107,13.067586206896548,PM
5,45.855172413793085,207,172,18.611805273833664,PM
6,53.97931034482756,187,161,21.161700281934493,PM
7,41.95862068965515,179,152,16.690206896551715,PM
8,47.17241379310343,154,136,18.071024189397832,PM
9,40.21379310344827,101,92,15.042937420178795,PM
10,43.88965517241378,82,68,18.176523859282476,PM
11,35.89655172413792,112,94,14.566716641679157,PM
12,35.4758620689655,102,84,14.70950378469301,PM
13,33.72413793103448,91,72,14.613793103448273,PM
14,46.4758620689655,156,130,18.880818965517232,PM
15,45.496551724137916,156,138,17.395740365111553,PM
16,37.903448275862054,123,104,15.235699797160239,PM
17,37.31034482758619,117,100,14.847994370161851,PM
18,32.18620689655171,125,111,12.303595908467779,PM
19,37.351724137931015,139,127,13.845039080459761,PM
20,58.61379310344825,195,167,23.090282131661432,PM
21,55.937931034482745,163,137,22.513290762026386,PM
22,36.40689655172412,127,101,15.567932195518393,PM
23,36.79999999999998,159,132,15.003076923076916,PM
24,42.013793103448265,87,79,15.82337662337662,PM
25,38.972413793103435,168,150,14.746318732525625,PM
1,33.31724137931033,191,179,11.984167803104093,EV
2,27.917241379310333,173,161,10.12512108725511,EV
3,31.889655172413768,250,207,12.9632744603308,EV
4,23.65517241379309,122,105,9.339582635866526,EV
5,31.64137931034481,201,172,12.470425963488836,EV
6,37.65517241379308,166,148,14.27113840340103,EV
7,27.834482758620673,134,121,10.44767700183521,EV
8,36.63448275862067,148,134,13.691675374433988,EV
9,30.77931034482757,101,92,11.513742017879943,EV
10,31.062068965517234,69,62,11.907126436781608,EV
11,25.931034482758612,103,89,10.233320121548418,EV
12,26.52413793103447,91,79,10.44890282131661,EV
13,19.986206896551714,67,61,7.5654003506721175,EV
14,31.303448275862056,155,130,12.635506465517235,EV
15,29.0758620689655,153,137,10.984214559386967,EV
16,24.979310344827574,117,102,9.741931034482754,EV
17,25.28275862068964,114,98,10.00775862068965,EV
18,23.15172413793102,124,111,8.779247073710845,EV
19,26.04827586206894,139,127,9.655227586206887,EV
20,41.731034482758595,195,167,16.43949843260187,EV
21,39.48965517241378,158,137,15.40584078331204,EV
22,27.344827586206883,122,100,11.347173352099455,EV
23,27.57931034482757,154,130,11.06045258620689,EV
24,28.531034482758614,87,79,10.745454545454542,EV
25,25.731034482758602,158,141,9.74940874886297,EV
